dataset,file,uncompressed_size,compressed_size,ratio,validated
DB_tpch_lineitem_f32,tpch_lineitem_f32,959776816,635062836,1.51,true
DB_tpcds_store_f32,tpcds_store_f32,276515952,257953962,1.07,true
DB_tpcds_web_f32,tpcds_web_f32,86354820,76828973,1.12,true
DB_tpcds_catalog_f32,tpcds_catalog_f32,172803480,153734487,1.12,true
HPC_TS_OBS_hdr_palermo_f32,hdr_palermo_f32,843454592,261791564,3.22,true
HPC_TS_OBS_acs_wht_f32,acs_wht_f32,225000000,168672430,1.33,true
HPC_TS_OBS_citytemp_f32,citytemp_f32,11625304,3773086,3.08,true
HPC_TS_OBS_num_brain_f64,num_brain_f64,141840000,123282255,1.15,true
HPC_TS_OBS_hst_wfc3_uvis_f32,hst_wfc3_uvis_f32,108924760,74049733,1.47,true
HPC_TS_OBS_solar_wind_f32,solar_wind_f32,423980536,302090406,1.4,true
HPC_TS_OBS_astro_pt_f64,astro_pt_f64,671088640,599676232,1.12,true
HPC_TS_OBS_num_control_f64,num_control_f64,159504744,143295755,1.11,true
HPC_TS_OBS_spain_gas_price_f64,spain_gas_price_f64,886619664,138086981,6.42,true
HPC_TS_OBS_wesad_chest_f64,wesad_chest_f64,272339200,94755723,2.87,true
HPC_TS_OBS_msg_bt_f64,msg_bt_f64,266389432,249734521,1.07,true
HPC_TS_OBS_ts_gas_f32,ts_gas_f32,307452800,126061333,2.44,true
HPC_TS_OBS_h3d_temp_f32,h3d_temp_f32,100000000,99995343,1.0,true
HPC_TS_OBS_wave_f32,wave_f32,536870912,478671146,1.12,true
HPC_TS_OBS_hdr_night_f32,hdr_night_f32,536870912,180787948,2.97,true
HPC_TS_OBS_g24_78_usb2_f32,g24_78_usb2_f32,1335668264,1165288673,1.15,true
HPC_TS_OBS_jw_mirimage_f32,jw_mirimage_f32,169082880,135795557,1.25,true
HPC_TS_OBS_rsim_f32,rsim_f32,94281728,66433507,1.42,true
HPC_TS_OBS_spitzer_irac_f32,spitzer_irac_f32,164989536,135926247,1.21,true
HPC_TS_OBS_miranda3d_f32,miranda3d_f32,4294967296,3215526280,1.34,true
HPC_TS_OBS_astro_mhd_f64,astro_mhd_f64,548458560,25570826,21.45,true
HPC_TS_OBS_jane_street_f64,jane_street_f64,1810997760,1645277472,1.1,true
HPC_TS_OBS_turbulence_f32,turbulence_f32,67108864,57602140,1.17,true
HPC_TS_OBS_nyc_taxi2015_f64,nyc_taxi2015_f64,713943216,404382768,1.77,true
HPC_TS_OBS_phone_gyro_f64,phone_gyro_f64,334383168,95937566,3.49,true
HPC_TS_OBS_hst_wfc3_ir_f32,hst_wfc3_ir_f32,24015312,16039292,1.5,true
